theta_x,theta_y,h_x,h_y,nc_x,nc_y,n_steps,tau_x,tau_y,mean_n,mean_m,S_x,S_y,S_xy,I_try,I
-0.000141597,-0.0753284,-0.0244063,-0.0561818,3000,3000,5036362250,1.28717680467385,1.40710102509517,1355.2955783668,1355.2955783668,5.19641973775916,5.18541499518926,10.3324352528202,0.0493994801282476,0.0280257132892245
-0.000253714,0.0531211,-0.0249297,0.0336864,3000,3000,13819008474,11.0720931898741,10.8951134184662,3323.91481439925,3323.91481439925,6.46868193465124,6.46850948568369,12.3443714840959,0.592819936238984,0.571720774034642
-0.000335917,0.0551151,-0.0426928,-0.0840684,3000,3000,5934503300,1.15097882916891,1.22689816032805,1451.57201199251,1451.57201199251,5.24949153583656,5.24939336968734,10.454232523697,0.0446523818269089,0.0301275011852837
-0.000352732,0.0858173,0.0196966,0.0271272,3000,3000,16616078392,3.28814374996551,3.25616885408212,3996.19034157684,3996.19034157684,6.10060237990571,6.1005575227696,11.9707701847793,0.23038971789598,0.205414411116957
-0.0003697,0.0659002,0.0618396,0.0285386,3000,3000,18595204872,2.01678138291259,1.93534309629932,4545.16416769743,4545.16416769743,5.99148070302812,5.99135261495091,11.8613893570243,0.121443960954757,0.104266824653386
-0.000383126,-0.0263852,0.00224277,0.00513223,3000,3000,15383317347,8.41505331637302,8.45677428243483,3886.89651853468,3886.89651853468,6.37765729453469,6.37760079977661,12.3152195521125,0.440038542198797,0.450404004420914
-0.000406921,-0.00719909,0.00735736,0.0163628,3000,3000,16364301599,4.1650466026328,4.17208855918888,4094.92798368796,4094.92798368796,6.17906565856341,6.17897465890624,12.0944678900603,0.263572427409398,0.266128521698063
-0.000430276,0.0695008,-0.0709433,-0.0120018,3000,3000,7176232036,1.70106117151171,1.68978637322147,1670.94812186364,1670.94812186364,5.42137249145047,5.4110451502261,10.7987985656394,0.0336190760372101,0.0683616720234017
-0.000447514,-0.05118,-0.0645912,0.0707887,3000,3000,15988112473,6.98777485343982,7.03612120156852,3990.20609308523,3990.20609308523,6.27461494795344,6.27288259418878,12.2145607687238,0.332936773418455,0.347671458481834
-0.000453878,-0.0626819,0.0560306,0.0191109,3000,3000,19313328139,1.90862883885374,1.93168889147846,4978.45463970662,4978.45463970662,5.97984583026845,5.97982391672646,11.8876203287731,0.0720494182218463,0.0835486697487386
-0.0004556,0.0415688,0.0330142,0.0417537,3000,3000,18230554443,2.4483172132381,2.42074990282621,4470.1845675013,4470.1845675013,6.01121135432912,6.01115559377603,11.8924738343656,0.129893113739545,0.120843710950767
-0.000470601,-0.0853877,0.0126209,-0.0660078,3000,3000,5507082346,1.52200244376453,1.67250864479274,1516.42025845959,1516.42025845959,5.30206524991582,5.22875631232539,10.5074209650892,0.0234005971519728,0.0460670165515467
-0.000498764,0.0522147,0.0310251,0.00743062,3000,3000,16508283652,3.46401989292566,3.45663564421977,4049.32825736773,4049.32825736773,6.12623165437619,6.12619439618712,12.0112697297932,0.24115632077007,0.225374838871099
-0.000676527,0.0281597,-0.0992587,-0.091213,3000,3000,4407314616,0.87788391031442,0.868207802856343,1068.48108309899,1068.48108309899,5.00504704537563,5.00496744309705,10.0162784984599,-0.00626400998725707,0.00881881335717871
-0.000690863,-0.0555381,-0.058463,-0.0876024,3000,3000,4063804355,0.918970710081356,1.02954171453749,1084.35889604222,1084.35889604222,5.01176328179344,5.00223467739627,9.97614912068752,0.0378488385021978,0.0091231921786985
-0.000809364,0.0640461,0.0675432,0.0610917,3000,3000,19800245961,1.54684866713013,1.43491740585372,4822.02024288761,4822.02024288761,5.95128197278006,5.95110791292481,11.8205088982699,0.0818809874349462,0.069644195335087
-0.000898009,-0.0944834,-0.0159483,-0.0311771,3000,3000,5527004709,1.66618366707957,1.84754190543752,1489.33479525965,1489.33479525965,5.2983869983792,5.29639286662328,10.5294202563688,0.0653596086337256,0.0492782535384322
-0.000919555,0.00162644,0.0198245,-0.00369218,3000,3000,15671660426,6.43857191059984,6.46277444962696,3926.99344959315,3926.99344959315,6.27554607886941,6.27547496038247,12.1927946478005,0.358226391451362,0.358425897959387
-0.000927416,-0.0571203,-0.0681122,0.0992856,3000,3000,17649091312,3.18663423599759,3.18636067925677,4400.93268633401,4400.93268633401,6.07513047414651,6.06317436378131,11.9982779787557,0.140026859172169,0.165538376878844
-0.000953927,0.0175391,-0.0719429,0.0587689,3000,3000,9332389073,7.30186374181302,7.21540269765181,2210.52626873932,2210.52626873932,6.0210458243571,6.00135707078013,11.6901473186673,0.332255576469956,0.374691637921268
-0.000967544,-0.0553562,0.00490914,-0.072082,3000,3000,5653302705,1.48086724045086,1.5126424853214,1519.97695852213,1519.97695852213,5.30163893135881,5.24562926912311,10.513529414388,0.0337387860938847,0.0440893132835782
-0.00104013,0.0886997,-0.0696903,-0.0573151,3000,3000,6374411894,1.15014618829399,1.08102743773574,1484.85436319416,1484.85436319416,5.27721289393225,5.27533003221728,10.5346544241077,0.0178885020418562,0.0348081797499411
-0.00106383,0.066629,0.0445767,0.0557493,3000,3000,18937326988,2.07051167738243,1.99091688719327,4591.5544550322,4591.5544550322,5.97855970191495,5.97852599798737,11.8499571936727,0.10712850622966,0.0937652952308827
-0.00109215,-0.042037,-0.00110454,0.0898096,3000,3000,19565701168,1.62579103074875,1.66039620893177,4909.34434591108,4909.34434591108,5.96604491801377,5.96361551036405,11.8659382949738,0.063722133404049,0.0751135982100823
-0.00112031,0.0529347,0.0820721,0.0113164,3000,3000,18837779550,1.9817204156976,1.96624438190955,4650.09594126024,4650.09594126024,5.98729395406761,5.98677233344196,11.8629422750212,0.111124012488364,0.0988111888168746
-0.00115016,-0.0900737,0.0396393,-0.0185098,3000,3000,17624711936,3.12192982249419,3.24435016484782,4613.11572293017,4613.11572293017,6.08644129462008,6.0864068102443,12.0250494724251,0.147798632439249,0.172610637964757
-0.00118313,0.0248393,0.0728227,-0.045518,3000,3000,16189195554,4.23158895216135,4.28162736004514,4083.0157792216,4083.0157792216,6.18074962442777,6.179996463423,12.0823896794251,0.278356408425633,0.271808373159505
-0.00128714,0.0611378,0.0013683,-0.0414383,3000,3000,8587290043,3.03461223291091,2.87477994420214,2096.37809419241,2096.37809419241,5.7267709426424,5.72667636654919,11.2549660796737,0.198481229517887,0.175566884857462
-0.0013123,-0.0833632,-0.0142186,-0.0222002,3000,3000,6024944043,1.97037551389422,2.06696414184039,1599.60901961263,1599.60901961263,5.38536773850546,5.38471680848032,10.6920872916625,0.0779972553232522,0.0716242818753798
-0.00136306,0.0675931,0.0189593,-0.0262927,3000,3000,11341477707,10.397144282101,10.1197838199654,2766.62948239752,2766.62948239752,6.35738653968389,6.35729331627524,12.1234155956297,0.591264260329433,0.559301996509074
