theta_x,theta_y,h_x,h_y,nc_x,nc_y,n_steps,tau_x,tau_y,mean_n,mean_m,S_x,S_y,S_xy,I_try,I
-0.01,-0.01,0,0,3000,3000,12100835355,242.756632961489,242.37994855972,2988.44069964067,2988.44069964067,7.39271219579918+0i,7.39269364395667,13.2419357570097+0i,1.54347008274618+0i,1.54321222915086
-0.01,-0.02,0,0,3000,3000,11974170214,783.374194054772,783.950329093082,2972.65742781974,2972.65742781974,7.35842536649335+0i,7.35840041066469,13.1909927573721+0i,1.52583301978592+0i,1.53070287577223
-0.01,-0.03,0,0,3000,3000,11267866034,2694.9207823702,2698.73700329022,2846.78687363697,2846.78687363697,7.13180455921838+0i,7.13177308060279,12.9230584781121+0i,1.34051916170908+0i,1.34839051294455
-0.01,-0.04,0,0,3000,3000,10449442087,10749.2723588622,10815.0915575686,2648.64783486694,2648.64783486694,6.832122816324+0i,6.83208477204332,12.5676299307935+0i,1.09657765757383+0i,1.10669437574472
-0.01,-0.05,0,0,3000,3000,8618851408,1599.95569560395,1616.94404922117,2180.80142485601,2180.80142485601,6.11048829104198+0i,6.11046875300408,11.7456066742169+0i,0.475350369829137+0i,0.487588212835281
-0.01,-0.06,0,0,3000,3000,16078444132,8.05761685130618,8.08854559774119,4070.18946622945,4070.18946622945,6.35057319744472+0i,6.35054382784636,12.3041487157888+0i,0.396968309502279+0i,0.41434956036978
-0.01,-0.07,0,0,3000,3000,7876497685,5.40327243935811,5.43077753283319,2024.05532579258,2024.05532579258,5.85249594740727+0i,5.85245320325421,11.4200985322677+0i,0.284850618393762+0i,0.299097643337172
-0.01,-0.08,0,0,3000,3000,16656475716,6.0630647384074,6.10778075221238,4252.23011984337,4252.23011984337,6.25120891497161+0i,6.25114220468974,12.2067319158559+0i,0.295619203805412+0i,0.319015582169101
-0.01,-0.09,0,0,3000,3000,16918520504,5.31812228382139,5.41928524828473,4337.80652153923,4337.80652153923,6.21305256922358+0i,6.21295965494574,12.1687781425741+0i,0.257234081595243+0i,0.283725635406185
-0.01,-0.11,0,0,3000,3000,17411984676,4.29243350749416,4.43621226852243,4503.52136216911,4503.52136216911,6.15329120881503+0i,6.15318339345841,12.1084893958965+0i,0.197985206376952+0i,0.226712377145091
-0.01,-0.12,0,0,3000,3000,17642246379,3.93986897444,4.09213474663936,4582.83310614746,4582.83310614746,6.13018710956443+0i,6.13002475810864,12.0858002740198+0i,0.174411593653268+0i,0.205738798758954
-0.01,-0.13,0,0,3000,3000,17866559420,3.5800398996245,3.75047110400127,4661.28046107427,4661.28046107427,6.10920558009553+0i,6.10897152478312,12.0651326176008+0i,0.153044487277896+0i,0.185607767811845
-0.01,-0.14,0,0,3000,3000,18088897496,3.75169045313758,3.91664164724658,4739.98744996405,4739.98744996405,6.09067198115258+0i,6.0903811247799,12.0467870455394+0i,0.134266060393054+0i,0.169139292671623
-0.01,-0.15,0,0,3000,3000,18305762603,3.33501514460452,3.5606702662903,4817.14692767187,4817.14692767187,6.07546656403923+0i,6.07513834010241,12.0319318526451+0i,0.118673051496561+0i,0.154439004981814
