theta_x,theta_y,h_x,h_y,nc_x,nc_y,n_steps,tau_x,tau_y,mean_n,mean_m,S_x,S_y,S_xy,I_try,I
-0.01,-0.01,-0.01,-0.01,3000,3000,26478073803,10.0888025324443,10.0161016320756,1998.12173267541,1998.12173267541,6.15128600662711,6.15126667248824,11.8532852448007,0.449267434314601,0.449401604013016
-0.01,-0.01,-0.02,-0.02,3000,3000,22878575478,5.48288181022041,5.47852695106242,1762.59444288328,1762.59444288328,5.87241835282852,5.87240569785294,11.4610336071903,0.283790443491199,0.283561986345362
-0.01,-0.01,-0.03,-0.03,3000,3000,20470148126,3.93873819621057,3.96836414563563,1597.70453883798,1597.70453883798,5.70510921684961,5.70507867011165,11.2063542296969,0.20383365726433,0.203880059480145
-0.01,-0.01,-0.04,-0.04,3000,3000,18607658318,3.11669680538713,3.13423515527314,1466.1489874486,1466.1489874486,5.5821102022098,5.58206499274947,11.0081683232387,0.156006871720599,0.155198886363721
-0.01,-0.01,-0.05,-0.05,3000,3000,17065257458,2.64989671338236,2.70929918532749,1354.7978366071,1354.7978366071,5.47975175995391,5.47973167307285,10.838317483879,0.121165949147731,0.121031188251791
-0.01,-0.01,-0.06,-0.06,3000,3000,15739411508,2.19749839612045,2.23989778386221,1257.23836119817,1257.23836119817,5.39369228838109,5.39366387456213,10.6898199890622,0.0975361738809752,0.0973344726253664
-0.01,-0.01,-0.07,-0.07,3000,3000,14571804961,2.036789171139,2.02818634026279,1169.91672603811,1169.91672603811,5.31685592855704,5.31682750302153,10.5553515678954,0.0783318636831467,0.0786581124856554
-0.01,-0.01,-0.08,-0.08,3000,3000,13523170689,1.86578693457952,1.86142739069623,1090.38322523944,1090.38322523944,5.24710092080373,5.24707655744511,10.4300737256879,0.0641037525609303,0.0648982153720254
-0.01,-0.01,-0.09,-0.09,3000,3000,12567251402,1.7666789667304,1.73766114866347,1017.09241218178,1017.09241218178,5.18405170247271,5.18403527680718,10.3137554714629,0.054331507817011,0.0539240655650843
-0.01,-0.01,-0.1,-0.1,3000,3000,11687477614,1.59898197823469,1.54737350817089,949.060465281645,949.060465281645,5.12202207666557,5.12199349577444,10.2004821951085,0.0435333773315385,0.0445815388744908
-0.01,-0.01,0.01,0.01,3000,3000,67941759538,8.7318869771668,8.74876566784457,4018.00550649284,4018.00550649284,6.63600267324759,6.63597705581407,12.761601679162,0.510378049899654,0.510633618781755
-0.01,-0.01,0.02,0.02,3000,3000,74160847595,5.4207912417932,5.27809990865236,4246.05059539386,4246.05059539386,6.48731053856461,6.48730182724524,12.6150430557105,0.359569310099365,0.360400820654069
-0.01,-0.01,0.03,0.03,3000,3000,78850777762,3.99997760684397,4.01669021633881,4408.88699906229,4408.88699906229,6.40966058031657,6.40964636018491,12.5343554407281,0.284951499773404,0.284634907678607
-0.01,-0.01,0.04,0.04,3000,3000,82764781195,3.22718882041862,3.20951677505779,4539.60104349018,4539.60104349018,6.35667064617409,6.35665715043202,12.4782240303711,0.235103766234976,0.235191348493931
-0.01,-0.01,0.05,0.05,3000,3000,86173727421,2.78183484195086,2.812910213386,4649.67964805125,4649.67964805125,6.3206065904414,6.32058127605034,12.4396500703711,0.201537796120672,0.201347448771697
-0.01,-0.01,0.06,0.06,3000,3000,89257224281,2.37287912066955,2.25254901409875,4746.32921486867,4746.32921486867,6.29164657831104,6.2916312079516,12.407733985279,0.175543800983638,0.175722952418104
-0.01,-0.01,0.07,0.07,3000,3000,92092515513,2.20026998755527,2.16052742159713,4833.37804815369,4833.37804815369,6.26749387546217,6.26747838418556,12.3805581456235,0.154414114024272,0.155095390741998
-0.01,-0.01,0.08,0.08,3000,3000,94726091657,1.88081205059694,1.86473256306052,4912.25581245785,4912.25581245785,6.24760734094471,6.24758931036891,12.3568810652244,0.138315586089199,0.138305672617445
-0.01,-0.01,0.09,0.09,3000,3000,97218229555,1.90897223751547,1.84536180462657,4985.54870295385,4985.54870295385,6.23151127188911,6.23149546405953,12.3372219283414,0.125784807607214,0.124813665381904
-0.01,-0.01,0.11,0.11,3000,3000,101801409095,1.570346914047,1.49271076406887,5116.66677590971,5116.66677590971,6.2036426679773,6.20361917342003,12.3042850229698,0.102976818427516,0.10331518599561
-0.01,-0.01,0.12,0.12,3000,3000,103939621740,1.41079759312264,1.41760090804684,5176.34489097704,5176.34489097704,6.1929020247481,6.19287804856683,12.2907867261255,0.0949933471894564,0.0950868902769759
-0.01,-0.01,0.13,0.13,3000,3000,106002007211,1.34652769479041,1.30733714600795,5233.05256423265,5233.05256423265,6.18262809324182,6.18260723412672,12.2772258334442,0.0880094939243747,0.0879329968586369
-0.01,-0.01,0.14,0.14,3000,3000,108000443135,1.35771220729767,1.32043760236054,5287.17679108825,5287.17679108825,6.1738103580385,6.17378374541556,12.2663821782099,0.0812119252441459,0.0811239804473605
-0.01,-0.01,0.15,0.15,3000,3000,109910400829,1.18074435848278,1.15005407509135,5338.23935274281,5338.23935274281,6.16603552290122,6.16600947753212,12.2567256772636,0.0753193231697917,0.0754956501222335
-0.01,-0.01,0.16,0.16,3000,3000,111772132409,1.18148427720804,1.19261325044769,5387.51525057889,5387.51525057889,6.15758633419909,6.157575315121,12.246142141293,0.069019508027079,0.0701546326938427
-0.01,-0.01,0.17,0.17,3000,3000,113583835871,1.23190078902845,1.19479453168958,5434.71617478197,5434.71617478197,6.15300679314744,6.1529759888291,12.2394617252721,0.0665210567043939,0.0664577167836118
-0.01,-0.01,0.18,0.18,3000,3000,115340735548,1.09866638942413,1.13330608440981,5479.92139443213,5479.92139443213,6.14498292367914,6.14495792329862,12.22830732645,0.061633520527792,0.0617783021496532
-0.01,-0.01,0.19,0.19,3000,3000,117068339005,1.09804346478097,1.15420639323107,5523.99086929195,5523.99086929195,6.13913544044805,6.13910938249309,12.2205948741509,0.0576499487902371,0.0579316420178468
-0.01,-0.01,0.1,0.1,3000,3000,99559289484,1.72566801781243,1.71574118175046,5052.95650043451,5052.95650043451,6.21678402357478,6.21677540609472,12.3196846656681,0.113874764001396,0.113072641555123
-0.01,-0.01,0.21,0.21,3000,3000,120380014300,0.995215225290433,1.04864914819913,5607.10268481549,5607.10268481549,6.12906587107628,6.12905035516579,12.2067251436083,0.0513910826338151,0.05169171084788
-0.01,-0.01,0.22,0.22,3000,3000,121987112020,0.951850849086458,0.979058173258618,5646.70264269628,5646.70264269628,6.12431836608769,6.12430052461885,12.1999675311934,0.0486513595131086,0.0486077892592522
-0.01,-0.01,0.23,0.23,3000,3000,123552815052,0.924501541250947,0.925958173661034,5685.01060757162,5685.01060757162,6.11973365079325,6.11972505337422,12.1937229370124,0.0457357671551115,0.0459544991402296
-0.01,-0.01,0.24,0.24,3000,3000,125099583217,0.911551268385563,0.919889157984257,5722.47429847567,5722.47429847567,6.11619779738169,6.11617388806503,12.1884851757867,0.043886509660048,0.0437847667757776
-0.01,-0.01,0.25,0.25,3000,3000,126620026344,0.833273908192765,0.802165924579807,5759.01969881753,5759.01969881753,6.11207335993211,6.11205708584408,12.1825824596719,0.0415479861042645,0.0413054895770859
-0.01,-0.01,0.26,0.26,3000,3000,128104799123,0.846315968346684,0.886905381720546,5794.32845943258,5794.32845943258,6.10839052311803,6.10838071893909,12.1770459746136,0.0397252674435453,0.0392022369151039
-0.01,-0.01,0.27,0.27,3000,3000,129569894611,0.83741708969223,0.838508473287894,5828.96364241212,5828.96364241212,6.10411899817551,6.10410804090198,12.171133082259,0.0370939568184969,0.0372469815120642
-0.01,-0.01,0.28,0.28,3000,3000,131014385218,0.836098780265828,0.816516960945487,5862.74727711019,5862.74727711019,6.10052432267919,6.10050935075434,12.1658479486319,0.035185724801611,0.0351809446479798
-0.01,-0.01,0.29,0.29,3000,3000,132430402231,0.810540300038484,0.817397457062182,5895.49933342713,5895.49933342713,6.09819363941938,6.09817498977313,12.161875143117,0.0344934860755224,0.0338372024020384
-0.01,-0.01,0.2,0.2,3000,3000,118735625042,1.07447019342695,1.05037574935651,5566.00457237122,5566.00457237122,6.13389385482313,6.13387810472447,12.2128844840988,0.0548874754488242,0.0546572389079216
-0.01,-0.01,0.3,0.3,3000,3000,133824402137,0.765342513793894,0.786867519808436,5927.61228114082,5927.61228114082,6.09471835227159,6.09470910905502,12.1573017230341,0.0321257382924802,0.0324065110548144
-0.01,-0.01,0,0,3000,3000,48280614582,153.959096058896,153.841046783431,3161.60909182117,3161.60909182117,7.55394609270227,7.55393720749986,13.5857105645491,1.52217273565305,1.52215471864341
-0.02,-0.02,-0.01,-0.01,3000,3000,25039224898,8.21161020302129,8.16249642100071,1899.01140723688,1899.01140723688,6.05825167833672,6.05822960232673,11.7199402900674,0.396540990596085,0.397254838689129
-0.02,-0.02,-0.02,-0.02,3000,3000,21819317646,4.84053893943977,4.82624073049025,1685.00094144143,1685.00094144143,5.81110674129445,5.81107250001387,11.3643423905936,0.257836850714735,0.257569992961503
-0.02,-0.02,-0.03,-0.03,3000,3000,19585196472,3.70043899059423,3.63808807149495,1530.43535406977,1530.43535406977,5.6567111571739,5.65666944730667,11.1247653915042,0.18861521297633,0.188496434421648
-0.02,-0.02,-0.04,-0.04,3000,3000,17822264183,2.93304230494637,2.96923723339732,1404.93489449749,1404.93489449749,5.53600798408394,5.53598371192976,10.9297873372614,0.142204358752254,0.142123681377264
-0.02,-0.02,-0.05,-0.05,3000,3000,16352000824,2.59175809556634,2.65141040756574,1298.02976323509,1298.02976323509,5.43888670454036,5.43886748509309,10.7654449784436,0.112309211189894,0.111993918551933
-0.02,-0.02,-0.06,-0.06,3000,3000,15079296024,2.23067563386245,2.24647135741467,1203.88575014362,1203.88575014362,5.35437705223335,5.35433975038594,10.6188884253409,0.0898283772784207,0.0896954937159062
-0.02,-0.02,-0.07,-0.07,3000,3000,13951831148,1.91127460487667,1.96499709887662,1119.19793409126,1119.19793409126,5.27809464348299,5.27804679336506,10.4840045467529,0.0721368900951678,0.0723594130813705
-0.02,-0.02,-0.08,-0.08,3000,3000,12936140674,1.85591893988795,1.8355847485277,1041.954654539,1041.954654539,5.21060606012915,5.21058923767953,10.3615768066694,0.0596184911392363,0.0596421980529254
-0.02,-0.02,-0.09,-0.09,3000,3000,12008328784,1.63373286410279,1.6226256794402,970.642101709443,970.642101709443,5.14609518109757,5.14607696520565,10.2434564059006,0.0487157404025886,0.0489728690121805
-0.02,-0.02,-0.1,-0.1,3000,3000,11151749167,1.5206276984173,1.55575020361812,904.120417610349,904.120417610349,5.0849407049418,5.08490957854288,10.1295982212927,0.040252062191998,0.0404302308526248
-0.02,-0.02,0.01,0.01,3000,3000,70894458000,7.6475742987703,7.62354990599648,4113.79197419877,4113.79197419877,6.60216549358027,6.60214993462521,12.7340005244262,0.47031490377926,0.470195680766439
-0.02,-0.02,0.02,0.02,3000,3000,76792256756,5.03534362565095,5.08922573144483,4323.58736865831,4323.58736865831,6.46925282455071,6.46923179741865,12.5998671440823,0.338617477887039,0.338285875342118
-0.02,-0.02,0.03,0.03,3000,3000,81294031592,3.78613661048839,3.74275043832042,4475.60714619543,4475.60714619543,6.39849388379518,6.39846500841575,12.5267244046522,0.270234487558687,0.270497890998497
-0.02,-0.02,0.04,0.04,3000,3000,85092842984,2.99307683286067,2.96455531527866,4599.38370728419,4599.38370728419,6.34899471886799,6.34897554166428,12.4730438183076,0.224926442224675,0.22448088009604
-0.02,-0.02,0.05,0.05,3000,3000,88483826285,2.62569443268453,2.60353844002392,4706.23769474034,4706.23769474034,6.31249852860336,6.31248063188368,12.433160093837,0.191819066650005,0.192214038857969
-0.02,-0.02,0.06,0.06,3000,3000,91515280238,2.2830885505502,2.22593841274557,4799.3793563161,4799.3793563161,6.28561588926221,6.28558489269057,12.4029505386684,0.168250243284408,0.169171966585512
-0.02,-0.02,0.07,0.07,3000,3000,94331414756,2.04901715206789,2.07592282889712,4883.98991476247,4883.98991476247,6.26256062001148,6.26253808066768,12.37650124347,0.148597457209165,0.149136379855602
-0.02,-0.02,0.08,0.08,3000,3000,96946489536,1.79359730021024,1.83366026712046,4960.59212753563,4960.59212753563,6.24285227349922,6.24282993867603,12.3528922348328,0.13278997734243,0.133111524720004
-0.02,-0.02,0.09,0.09,3000,3000,99406520021,1.84644761072989,1.79307805499856,5031.50185610689,5031.50185610689,6.22751028929478,6.22749424523898,12.3349509815915,0.120053552942295,0.120658226996138
-0.02,-0.02,0.11,0.11,3000,3000,103980778839,1.46245336410854,1.48415698294029,5159.79415838205,5159.79415838205,6.20181393929259,6.20179112866626,12.3030455178465,0.100559550112363,0.100120283308174
-0.02,-0.02,0.12,0.12,3000,3000,106125401719,1.39434892328947,1.36057337171369,5218.51786855914,5218.51786855914,6.19173256345113,6.19170641490858,12.2900534698291,0.0933855085306341,0.092716003296708
-0.02,-0.02,0.13,0.13,3000,3000,108177532837,1.35055619184739,1.2852047379566,5273.88641285164,5273.88641285164,6.18139441364737,6.18136697310639,12.2772094565343,0.0855519302194683,0.0851404636304363
-0.02,-0.02,0.14,0.14,3000,3000,110162910034,1.31711394873695,1.28711744292904,5326.76011945836,5326.76011945836,6.17209142394087,6.17207820086204,12.2657662928948,0.0784033319081523,0.078841400794051
